Fall 2017, CSE1002
Extra Assignment: Where is Watson?
run.csh; Wed Nov 22 19:09:44 EST 2017
Kyle Stead submitted on Mon, 20 Nov 2017, at 10:40 AM EST
Problem where.  Jar of test cases: /home/cse1002-stansifer/fall2017/ex_where/testing/testcases-where.jar

Run Summary
CONCLUSION (where-000): normal termination;   0.236 seconds, 100448 max kilobytes
CONCLUSION (where-100): normal termination;   0.242 seconds, 100640 max kilobytes
CONCLUSION (where-101): normal termination;   0.247 seconds, 100800 max kilobytes
CONCLUSION (where-102): normal termination;   0.241 seconds, 98768 max kilobytes
CONCLUSION (where-103): normal termination;   0.244 seconds, 89504 max kilobytes
CONCLUSION (where-104): normal termination;   0.241 seconds, 101152 max kilobytes
CONCLUSION (where-105): normal termination;   0.242 seconds, 100912 max kilobytes
CONCLUSION (where-106): normal termination;   0.240 seconds, 100976 max kilobytes
CONCLUSION (where-107): normal termination;   0.247 seconds, 100784 max kilobytes
CONCLUSION (where-108): normal termination;   0.248 seconds, 93520 max kilobytes
CONCLUSION (where-109): normal termination;   0.245 seconds, 100784 max kilobytes
CONCLUSION (where-110): normal termination;   0.243 seconds, 96784 max kilobytes
CONCLUSION (where-111): normal termination;   0.239 seconds, 100848 max kilobytes
CONCLUSION (where-112): normal termination;   0.246 seconds, 96592 max kilobytes
CONCLUSION (where-113): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-114): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-115): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-116): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-117): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-118): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-119): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-120): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-200): normal termination;   0.395 seconds, 106400 max kilobytes
CONCLUSION (where-201): normal termination;   0.402 seconds, 108272 max kilobytes
CONCLUSION (where-202): normal termination;   0.396 seconds, 111328 max kilobytes
CONCLUSION (where-203): normal termination;   0.392 seconds, 108592 max kilobytes
CONCLUSION (where-204): normal termination;   0.508 seconds, 112576 max kilobytes
CONCLUSION (where-205): normal termination;   0.401 seconds, 111744 max kilobytes
CONCLUSION (where-206): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-207): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-208): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-209): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-210): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-300): normal termination;   0.469 seconds, 126192 max kilobytes
CONCLUSION (where-301): normal termination;   0.472 seconds, 119840 max kilobytes
CONCLUSION (where-302): normal termination;   0.469 seconds, 129328 max kilobytes
CONCLUSION (where-303): normal termination;   0.467 seconds, 125232 max kilobytes
CONCLUSION (where-304): normal termination;   0.458 seconds, 129856 max kilobytes
CONCLUSION (where-305): normal termination;   0.466 seconds, 121808 max kilobytes
CONCLUSION (where-306): normal termination;   0.458 seconds, 125328 max kilobytes
CONCLUSION (where-307): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-308): normal termination;   0.457 seconds, 125184 max kilobytes
CONCLUSION (where-309): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-310): runtime error; check standard-error stream, perhaps?
where-000     /where-000          : [32mPASS[0m  [Options: tokenize, ignore case]
where-100     /where-100          : [32mPASS[0m  [Options: tokenize, ignore case]
where-101     /where-101          : [32mPASS[0m  [Options: tokenize, ignore case]
where-102     /where-102          : [32mPASS[0m  [Options: tokenize, ignore case]
where-103     /where-103          : [32mPASS[0m  [Options: tokenize, ignore case]
where-104     /where-104          : [32mPASS[0m  [Options: tokenize, ignore case]
where-105     /where-105          : [32mPASS[0m  [Options: tokenize, ignore case]
where-106     /where-106          : [32mPASS[0m  [Options: tokenize, ignore case]
where-107     /where-107          : [32mPASS[0m  [Options: tokenize, ignore case]
where-108     /where-108          : [32mPASS[0m  [Options: tokenize, ignore case]
where-109     /where-109          : [32mPASS[0m  [Options: tokenize, ignore case]
where-110     /where-110          : [32mPASS[0m  [Options: tokenize, ignore case]
where-111     /where-111          : [32mPASS[0m  [Options: tokenize, ignore case]
where-112     /where-112          : [32mPASS[0m  [Options: tokenize, ignore case]
where-113     /where-113          : [31mFAIL[0m  [Options: tokenize, ignore case]
where-114     /where-114          : [31mFAIL[0m  [Options: tokenize, ignore case]
where-115     /where-115          : [31mFAIL[0m  [Options: tokenize, ignore case]
where-116     /where-116          : [31mFAIL[0m  [Options: tokenize, ignore case]
where-117     /where-117          : [31mFAIL[0m  [Options: tokenize, ignore case]
where-118     /where-118          : [31mFAIL[0m  [Options: tokenize, ignore case]
where-119     /where-119          : [31mFAIL[0m  [Options: tokenize, ignore case]
where-120     /where-120          : [31mFAIL[0m  [Options: tokenize, ignore case]
where-200     /where-200          : [32mPASS[0m  [Options: tokenize, ignore case]
where-201     /where-201          : [32mPASS[0m  [Options: tokenize, ignore case]
where-202     /where-202          : [32mPASS[0m  [Options: tokenize, ignore case]
where-203     /where-203          : [32mPASS[0m  [Options: tokenize, ignore case]
where-204     /where-204          : [32mPASS[0m  [Options: tokenize, ignore case]
where-205     /where-205          : [32mPASS[0m  [Options: tokenize, ignore case]
where-206     /where-206          : [31mFAIL[0m  [Options: tokenize, ignore case]
where-207     /where-207          : [31mFAIL[0m  [Options: tokenize, ignore case]
where-208     /where-208          : [31mFAIL[0m  [Options: tokenize, ignore case]
