Fall 2017, CSE1002
Extra Assignment: Where is Watson?
run.csh; Wed Nov 22 19:05:57 EST 2017
Zachary Langel submitted on Mon, 20 Nov 2017, at 02:16 PM EST
Problem where.  Jar of test cases: /home/cse1002-stansifer/fall2017/ex_where/testing/testcases-where.jar

Run Summary
CONCLUSION (where-000): normal termination;   0.243 seconds, 100464 max kilobytes
CONCLUSION (where-100): normal termination;   0.240 seconds, 89056 max kilobytes
CONCLUSION (where-101): normal termination;   0.241 seconds, 100832 max kilobytes
CONCLUSION (where-102): normal termination;   0.238 seconds, 95936 max kilobytes
CONCLUSION (where-103): normal termination;   0.238 seconds, 95760 max kilobytes
CONCLUSION (where-104): normal termination;   0.246 seconds, 96400 max kilobytes
CONCLUSION (where-105): normal termination;   0.243 seconds, 100368 max kilobytes
CONCLUSION (where-106): normal termination;   0.241 seconds, 101712 max kilobytes
CONCLUSION (where-107): normal termination;   0.243 seconds, 89216 max kilobytes
CONCLUSION (where-108): normal termination;   0.246 seconds, 100128 max kilobytes
CONCLUSION (where-109): normal termination;   0.243 seconds, 98736 max kilobytes
CONCLUSION (where-110): normal termination;   0.244 seconds, 99648 max kilobytes
CONCLUSION (where-111): normal termination;   0.242 seconds, 97840 max kilobytes
CONCLUSION (where-112): normal termination;   0.244 seconds, 101056 max kilobytes
CONCLUSION (where-113): normal termination;   0.247 seconds, 109120 max kilobytes
CONCLUSION (where-114): normal termination;   0.242 seconds, 95760 max kilobytes
CONCLUSION (where-115): normal termination;   0.244 seconds, 95984 max kilobytes
CONCLUSION (where-116): normal termination;   0.244 seconds, 101120 max kilobytes
CONCLUSION (where-117): normal termination;   0.245 seconds, 100576 max kilobytes
CONCLUSION (where-118): normal termination;   0.260 seconds, 89600 max kilobytes
CONCLUSION (where-119): normal termination;   0.293 seconds, 100160 max kilobytes
CONCLUSION (where-120): normal termination;   0.310 seconds, 104128 max kilobytes
CONCLUSION (where-200): normal termination;   0.415 seconds, 114112 max kilobytes
CONCLUSION (where-201): normal termination;   0.384 seconds, 110368 max kilobytes
CONCLUSION (where-202): normal termination;   0.384 seconds, 107760 max kilobytes
CONCLUSION (where-203): normal termination;   0.388 seconds, 108240 max kilobytes
CONCLUSION (where-204): normal termination;   0.421 seconds, 106352 max kilobytes
CONCLUSION (where-205): normal termination;   0.435 seconds, 111792 max kilobytes
CONCLUSION (where-206): normal termination;   0.455 seconds, 112304 max kilobytes
CONCLUSION (where-207): normal termination;   0.477 seconds, 109648 max kilobytes
CONCLUSION (where-208): normal termination;   0.438 seconds, 114160 max kilobytes
CONCLUSION (where-209): normal termination;   0.506 seconds, 114832 max kilobytes
CONCLUSION (where-210): normal termination;   0.692 seconds, 114544 max kilobytes
CONCLUSION (where-300): runtime error; check standard-error stream, perhaps?
CONCLUSION (where-301): normal termination;   0.450 seconds, 128976 max kilobytes
CONCLUSION (where-302): normal termination;   0.486 seconds, 128144 max kilobytes
CONCLUSION (where-303): normal termination;   0.486 seconds, 124816 max kilobytes
CONCLUSION (where-304): normal termination;   0.492 seconds, 125104 max kilobytes
CONCLUSION (where-305): normal termination;   0.520 seconds, 130832 max kilobytes
CONCLUSION (where-306): normal termination;   0.609 seconds, 123120 max kilobytes
CONCLUSION (where-307): normal termination;   0.700 seconds, 127728 max kilobytes
CONCLUSION (where-308): normal termination;   0.578 seconds, 128208 max kilobytes
CONCLUSION (where-309): normal termination;   0.763 seconds, 126448 max kilobytes
CONCLUSION (where-310): normal termination;   1.331 seconds, 127360 max kilobytes
where-000     /where-000          : [32mPASS[0m  [Options: tokenize, ignore case]
where-100     /where-100          : [31mFAIL[0m  [Options: tokenize, ignore case]
where-101     /where-101          : [32mPASS[0m  [Options: tokenize, ignore case]
where-102     /where-102          : [32mPASS[0m  [Options: tokenize, ignore case]
where-103     /where-103          : [32mPASS[0m  [Options: tokenize, ignore case]
where-104     /where-104          : [32mPASS[0m  [Options: tokenize, ignore case]
where-105     /where-105          : [32mPASS[0m  [Options: tokenize, ignore case]
where-106     /where-106          : [32mPASS[0m  [Options: tokenize, ignore case]
where-107     /where-107          : [32mPASS[0m  [Options: tokenize, ignore case]
where-108     /where-108          : [32mPASS[0m  [Options: tokenize, ignore case]
where-109     /where-109          : [32mPASS[0m  [Options: tokenize, ignore case]
where-110     /where-110          : [32mPASS[0m  [Options: tokenize, ignore case]
where-111     /where-111          : [32mPASS[0m  [Options: tokenize, ignore case]
where-112     /where-112          : [32mPASS[0m  [Options: tokenize, ignore case]
where-113     /where-113          : [32mPASS[0m  [Options: tokenize, ignore case]
where-114     /where-114          : [32mPASS[0m  [Options: tokenize, ignore case]
where-115     /where-115          : [32mPASS[0m  [Options: tokenize, ignore case]
where-116     /where-116          : [32mPASS[0m  [Options: tokenize, ignore case]
where-117     /where-117          : [32mPASS[0m  [Options: tokenize, ignore case]
where-118     /where-118          : [32mPASS[0m  [Options: tokenize, ignore case]
where-119     /where-119          : [32mPASS[0m  [Options: tokenize, ignore case]
where-120     /where-120          : [32mPASS[0m  [Options: tokenize, ignore case]
where-200     /where-200          : [31mFAIL[0m  [Options: tokenize, ignore case]
where-201     /where-201          : [32mPASS[0m  [Options: tokenize, ignore case]
where-202     /where-202          : [32mPASS[0m  [Options: tokenize, ignore case]
where-203     /where-203          : [32mPASS[0m  [Options: tokenize, ignore case]
where-204     /where-204          : [32mPASS[0m  [Options: tokenize, ignore case]
where-205     /where-205          : [32mPASS[0m  [Options: tokenize, ignore case]
where-206     /where-206          : [32mPASS[0m  [Options: tokenize, ignore case]
