Fall 2017, CSE1002
Extra Assignment: Where is Watson?
run.csh; Wed Nov 22 19:04:53 EST 2017
Cameron Haupt submitted on Sun, 19 Nov 2017, at 08:16 AM EST
Problem where.  Jar of test cases: /home/cse1002-stansifer/fall2017/ex_where/testing/testcases-where.jar

Run Summary
CONCLUSION (where-000): normal termination;   0.245 seconds, 100608 max kilobytes
CONCLUSION (where-100): normal termination;   0.245 seconds, 95664 max kilobytes
CONCLUSION (where-101): normal termination;   0.250 seconds, 93296 max kilobytes
CONCLUSION (where-102): normal termination;   0.245 seconds, 101904 max kilobytes
CONCLUSION (where-103): normal termination;   0.246 seconds, 100480 max kilobytes
CONCLUSION (where-104): normal termination;   0.242 seconds, 101008 max kilobytes
CONCLUSION (where-105): normal termination;   0.248 seconds, 100464 max kilobytes
CONCLUSION (where-106): normal termination;   0.251 seconds, 93360 max kilobytes
CONCLUSION (where-107): normal termination;   0.246 seconds, 96880 max kilobytes
CONCLUSION (where-108): normal termination;   0.246 seconds, 89616 max kilobytes
CONCLUSION (where-109): normal termination;   0.245 seconds, 96688 max kilobytes
CONCLUSION (where-110): normal termination;   0.247 seconds, 100864 max kilobytes
CONCLUSION (where-111): normal termination;   0.244 seconds, 100496 max kilobytes
CONCLUSION (where-112): normal termination;   0.248 seconds, 98944 max kilobytes
CONCLUSION (where-113): normal termination;   0.238 seconds, 95808 max kilobytes
CONCLUSION (where-114): normal termination;   0.245 seconds, 101296 max kilobytes
CONCLUSION (where-115): normal termination;   0.247 seconds, 98320 max kilobytes
CONCLUSION (where-116): normal termination;   0.252 seconds, 100944 max kilobytes
CONCLUSION (where-117): normal termination;   0.245 seconds, 96560 max kilobytes
CONCLUSION (where-118): normal termination;   0.253 seconds, 96048 max kilobytes
CONCLUSION (where-119): normal termination;   0.266 seconds, 101408 max kilobytes
CONCLUSION (where-120): normal termination;   0.292 seconds, 100352 max kilobytes
CONCLUSION (where-200): normal termination;   0.398 seconds, 119808 max kilobytes
CONCLUSION (where-201): normal termination;   0.410 seconds, 118080 max kilobytes
CONCLUSION (where-202): normal termination;   0.414 seconds, 117040 max kilobytes
CONCLUSION (where-203): normal termination;   0.426 seconds, 119376 max kilobytes
CONCLUSION (where-204): normal termination;   0.422 seconds, 112720 max kilobytes
CONCLUSION (where-205): normal termination;   0.405 seconds, 115648 max kilobytes
CONCLUSION (where-206): normal termination;   0.418 seconds, 117152 max kilobytes
CONCLUSION (where-207): normal termination;   0.419 seconds, 116192 max kilobytes
CONCLUSION (where-208): normal termination;   0.417 seconds, 116752 max kilobytes
CONCLUSION (where-209): normal termination;   0.421 seconds, 115280 max kilobytes
CONCLUSION (where-210): normal termination;   0.455 seconds, 128320 max kilobytes
CONCLUSION (where-300): normal termination;   0.482 seconds, 132224 max kilobytes
CONCLUSION (where-301): normal termination;   0.475 seconds, 138768 max kilobytes
CONCLUSION (where-302): normal termination;   0.485 seconds, 138464 max kilobytes
CONCLUSION (where-303): normal termination;   0.473 seconds, 138304 max kilobytes
CONCLUSION (where-304): normal termination;   0.489 seconds, 138784 max kilobytes
CONCLUSION (where-305): normal termination;   0.494 seconds, 133968 max kilobytes
CONCLUSION (where-306): normal termination;   0.477 seconds, 145232 max kilobytes
CONCLUSION (where-307): normal termination;   0.485 seconds, 139360 max kilobytes
CONCLUSION (where-308): normal termination;   0.486 seconds, 132640 max kilobytes
CONCLUSION (where-309): normal termination;   0.490 seconds, 134208 max kilobytes
CONCLUSION (where-310): normal termination;   0.535 seconds, 138592 max kilobytes
where-000     /where-000          : [32mPASS[0m  [Options: tokenize, ignore case]
where-100     /where-100          : [32mPASS[0m  [Options: tokenize, ignore case]
where-101     /where-101          : [32mPASS[0m  [Options: tokenize, ignore case]
where-102     /where-102          : [32mPASS[0m  [Options: tokenize, ignore case]
where-103     /where-103          : [32mPASS[0m  [Options: tokenize, ignore case]
where-104     /where-104          : [32mPASS[0m  [Options: tokenize, ignore case]
where-105     /where-105          : [32mPASS[0m  [Options: tokenize, ignore case]
where-106     /where-106          : [32mPASS[0m  [Options: tokenize, ignore case]
where-107     /where-107          : [32mPASS[0m  [Options: tokenize, ignore case]
where-108     /where-108          : [32mPASS[0m  [Options: tokenize, ignore case]
where-109     /where-109          : [32mPASS[0m  [Options: tokenize, ignore case]
where-110     /where-110          : [32mPASS[0m  [Options: tokenize, ignore case]
where-111     /where-111          : [32mPASS[0m  [Options: tokenize, ignore case]
where-112     /where-112          : [32mPASS[0m  [Options: tokenize, ignore case]
where-113     /where-113          : [32mPASS[0m  [Options: tokenize, ignore case]
where-114     /where-114          : [32mPASS[0m  [Options: tokenize, ignore case]
where-115     /where-115          : [32mPASS[0m  [Options: tokenize, ignore case]
where-116     /where-116          : [32mPASS[0m  [Options: tokenize, ignore case]
where-117     /where-117          : [32mPASS[0m  [Options: tokenize, ignore case]
where-118     /where-118          : [32mPASS[0m  [Options: tokenize, ignore case]
where-119     /where-119          : [32mPASS[0m  [Options: tokenize, ignore case]
where-120     /where-120          : [32mPASS[0m  [Options: tokenize, ignore case]
where-200     /where-200          : [32mPASS[0m  [Options: tokenize, ignore case]
where-201     /where-201          : [32mPASS[0m  [Options: tokenize, ignore case]
where-202     /where-202          : [32mPASS[0m  [Options: tokenize, ignore case]
where-203     /where-203          : [32mPASS[0m  [Options: tokenize, ignore case]
where-204     /where-204          : [32mPASS[0m  [Options: tokenize, ignore case]
where-205     /where-205          : [32mPASS[0m  [Options: tokenize, ignore case]
where-206     /where-206          : [32mPASS[0m  [Options: tokenize, ignore case]
